,RunId,iteration,Step,pheromone_decay,food_decay,temperature,size,seed,AgentID,food_deposited
0,2,0,2000,0.75,0.75,0.75,30,1,1,0
1,2,0,2000,0.75,0.75,0.75,30,1,2,0
2,2,0,2000,0.75,0.75,0.75,30,1,3,0
3,2,0,2000,0.75,0.75,0.75,30,1,4,0
4,2,0,2000,0.75,0.75,0.75,30,1,5,943
5,2,0,2000,0.75,0.75,0.75,30,1,6,944
6,2,0,2000,0.75,0.75,0.75,30,1,7,0
7,2,0,2000,0.75,0.75,0.75,30,1,8,0
8,2,0,2000,0.75,0.75,0.75,30,1,9,0
9,2,0,2000,0.75,0.75,0.75,30,1,10,0
10,1,0,2000,0.75,0.75,0.0,30,2,1,0
11,1,0,2000,0.75,0.75,0.0,30,2,2,0
12,1,0,2000,0.75,0.75,0.0,30,2,3,0
13,1,0,2000,0.75,0.75,0.0,30,2,4,0
14,1,0,2000,0.75,0.75,0.0,30,2,5,0
15,1,0,2000,0.75,0.75,0.0,30,2,6,0
16,1,0,2000,0.75,0.75,0.0,30,2,7,0
17,1,0,2000,0.75,0.75,0.0,30,2,8,0
18,1,0,2000,0.75,0.75,0.0,30,2,9,0
19,1,0,2000,0.75,0.75,0.0,30,2,10,0
20,0,0,2000,0.75,0.75,0.0,30,1,1,0
21,0,0,2000,0.75,0.75,0.0,30,1,2,0
22,0,0,2000,0.75,0.75,0.0,30,1,3,0
23,0,0,2000,0.75,0.75,0.0,30,1,4,0
24,0,0,2000,0.75,0.75,0.0,30,1,5,0
25,0,0,2000,0.75,0.75,0.0,30,1,6,0
26,0,0,2000,0.75,0.75,0.0,30,1,7,0
27,0,0,2000,0.75,0.75,0.0,30,1,8,0
28,0,0,2000,0.75,0.75,0.0,30,1,9,0
29,0,0,2000,0.75,0.75,0.0,30,1,10,0
30,3,0,2000,0.75,0.75,0.75,30,2,1,0
31,3,0,2000,0.75,0.75,0.75,30,2,2,0
32,3,0,2000,0.75,0.75,0.75,30,2,3,0
33,3,0,2000,0.75,0.75,0.75,30,2,4,0
34,3,0,2000,0.75,0.75,0.75,30,2,5,0
35,3,0,2000,0.75,0.75,0.75,30,2,6,0
36,3,0,2000,0.75,0.75,0.75,30,2,7,0
37,3,0,2000,0.75,0.75,0.75,30,2,8,0
38,3,0,2000,0.75,0.75,0.75,30,2,9,0
39,3,0,2000,0.75,0.75,0.75,30,2,10,0
40,4,0,2000,0.75,0.75,1.5,30,1,1,0
41,4,0,2000,0.75,0.75,1.5,30,1,2,0
42,4,0,2000,0.75,0.75,1.5,30,1,3,0
43,4,0,2000,0.75,0.75,1.5,30,1,4,0
44,4,0,2000,0.75,0.75,1.5,30,1,5,3
45,4,0,2000,0.75,0.75,1.5,30,1,6,0
46,4,0,2000,0.75,0.75,1.5,30,1,7,0
47,4,0,2000,0.75,0.75,1.5,30,1,8,0
48,4,0,2000,0.75,0.75,1.5,30,1,9,0
49,4,0,2000,0.75,0.75,1.5,30,1,10,0
50,5,0,2000,0.75,0.75,1.5,30,2,1,0
51,5,0,2000,0.75,0.75,1.5,30,2,2,0
52,5,0,2000,0.75,0.75,1.5,30,2,3,0
53,5,0,2000,0.75,0.75,1.5,30,2,4,0
54,5,0,2000,0.75,0.75,1.5,30,2,5,0
55,5,0,2000,0.75,0.75,1.5,30,2,6,0
56,5,0,2000,0.75,0.75,1.5,30,2,7,0
57,5,0,2000,0.75,0.75,1.5,30,2,8,0
58,5,0,2000,0.75,0.75,1.5,30,2,9,0
59,5,0,2000,0.75,0.75,1.5,30,2,10,0
60,6,0,2000,0.75,0.75,2.25,30,1,1,0
61,6,0,2000,0.75,0.75,2.25,30,1,2,0
62,6,0,2000,0.75,0.75,2.25,30,1,3,0
63,6,0,2000,0.75,0.75,2.25,30,1,4,0
64,6,0,2000,0.75,0.75,2.25,30,1,5,0
65,6,0,2000,0.75,0.75,2.25,30,1,6,1
66,6,0,2000,0.75,0.75,2.25,30,1,7,0
67,6,0,2000,0.75,0.75,2.25,30,1,8,0
68,6,0,2000,0.75,0.75,2.25,30,1,9,0
69,6,0,2000,0.75,0.75,2.25,30,1,10,0
70,7,0,2000,0.75,0.75,2.25,30,2,1,0
71,7,0,2000,0.75,0.75,2.25,30,2,2,0
72,7,0,2000,0.75,0.75,2.25,30,2,3,0
73,7,0,2000,0.75,0.75,2.25,30,2,4,0
74,7,0,2000,0.75,0.75,2.25,30,2,5,0
75,7,0,2000,0.75,0.75,2.25,30,2,6,0
76,7,0,2000,0.75,0.75,2.25,30,2,7,0
77,7,0,2000,0.75,0.75,2.25,30,2,8,0
78,7,0,2000,0.75,0.75,2.25,30,2,9,0
79,7,0,2000,0.75,0.75,2.25,30,2,10,0
80,8,0,2000,0.75,0.75,3.0,30,1,1,0
81,8,0,2000,0.75,0.75,3.0,30,1,2,0
82,8,0,2000,0.75,0.75,3.0,30,1,3,0
83,8,0,2000,0.75,0.75,3.0,30,1,4,0
84,8,0,2000,0.75,0.75,3.0,30,1,5,0
85,8,0,2000,0.75,0.75,3.0,30,1,6,1
86,8,0,2000,0.75,0.75,3.0,30,1,7,0
87,8,0,2000,0.75,0.75,3.0,30,1,8,0
88,8,0,2000,0.75,0.75,3.0,30,1,9,0
89,8,0,2000,0.75,0.75,3.0,30,1,10,0
90,11,0,2000,0.75,0.8125,0.0,30,2,1,0
91,11,0,2000,0.75,0.8125,0.0,30,2,2,0
92,11,0,2000,0.75,0.8125,0.0,30,2,3,0
93,11,0,2000,0.75,0.8125,0.0,30,2,4,0
94,11,0,2000,0.75,0.8125,0.0,30,2,5,0
95,11,0,2000,0.75,0.8125,0.0,30,2,6,0
96,11,0,2000,0.75,0.8125,0.0,30,2,7,0
97,11,0,2000,0.75,0.8125,0.0,30,2,8,0
98,11,0,2000,0.75,0.8125,0.0,30,2,9,0
99,11,0,2000,0.75,0.8125,0.0,30,2,10,0
100,10,0,2000,0.75,0.8125,0.0,30,1,1,0
101,10,0,2000,0.75,0.8125,0.0,30,1,2,0
102,10,0,2000,0.75,0.8125,0.0,30,1,3,0
103,10,0,2000,0.75,0.8125,0.0,30,1,4,0
104,10,0,2000,0.75,0.8125,0.0,30,1,5,0
105,10,0,2000,0.75,0.8125,0.0,30,1,6,0
106,10,0,2000,0.75,0.8125,0.0,30,1,7,0
107,10,0,2000,0.75,0.8125,0.0,30,1,8,0
108,10,0,2000,0.75,0.8125,0.0,30,1,9,0
109,10,0,2000,0.75,0.8125,0.0,30,1,10,0
110,9,0,2000,0.75,0.75,3.0,30,2,1,0
111,9,0,2000,0.75,0.75,3.0,30,2,2,0
112,9,0,2000,0.75,0.75,3.0,30,2,3,0
113,9,0,2000,0.75,0.75,3.0,30,2,4,0
114,9,0,2000,0.75,0.75,3.0,30,2,5,0
115,9,0,2000,0.75,0.75,3.0,30,2,6,0
116,9,0,2000,0.75,0.75,3.0,30,2,7,0
117,9,0,2000,0.75,0.75,3.0,30,2,8,0
118,9,0,2000,0.75,0.75,3.0,30,2,9,0
119,9,0,2000,0.75,0.75,3.0,30,2,10,0
120,12,0,2000,0.75,0.8125,0.75,30,1,1,0
121,12,0,2000,0.75,0.8125,0.75,30,1,2,0
122,12,0,2000,0.75,0.8125,0.75,30,1,3,0
123,12,0,2000,0.75,0.8125,0.75,30,1,4,0
124,12,0,2000,0.75,0.8125,0.75,30,1,5,943
125,12,0,2000,0.75,0.8125,0.75,30,1,6,944
126,12,0,2000,0.75,0.8125,0.75,30,1,7,0
127,12,0,2000,0.75,0.8125,0.75,30,1,8,0
128,12,0,2000,0.75,0.8125,0.75,30,1,9,0
129,12,0,2000,0.75,0.8125,0.75,30,1,10,0
130,14,0,2000,0.75,0.8125,1.5,30,1,1,0
131,14,0,2000,0.75,0.8125,1.5,30,1,2,0
132,14,0,2000,0.75,0.8125,1.5,30,1,3,0
133,14,0,2000,0.75,0.8125,1.5,30,1,4,0
134,14,0,2000,0.75,0.8125,1.5,30,1,5,3
135,14,0,2000,0.75,0.8125,1.5,30,1,6,0
136,14,0,2000,0.75,0.8125,1.5,30,1,7,0
137,14,0,2000,0.75,0.8125,1.5,30,1,8,0
138,14,0,2000,0.75,0.8125,1.5,30,1,9,0
139,14,0,2000,0.75,0.8125,1.5,30,1,10,0
140,13,0,2000,0.75,0.8125,0.75,30,2,1,0
141,13,0,2000,0.75,0.8125,0.75,30,2,2,0
142,13,0,2000,0.75,0.8125,0.75,30,2,3,0
143,13,0,2000,0.75,0.8125,0.75,30,2,4,0
144,13,0,2000,0.75,0.8125,0.75,30,2,5,0
145,13,0,2000,0.75,0.8125,0.75,30,2,6,0
